author,body,likes,dislikes,replies,video_likes,video_dislikes,video_shares,video_views,youtube_predicted_emotion
@stipe9k,"eras of the world cup the beginnings (1930 - 1954) world cup is getting defined and becoming an important event. this era is marked by a dominance of uruguay and italy, as well as an unlikely german triumph. brazil hadn't become a powerhouse (losing the only final they played up to this point) and hungary was very powerful, but failed to win any trophies. pele's era (1958 - 1970) brazil win 3 out of 4 world cups. the only exception is england's sole triumph on home soil against germany. pele becomes the only player with 3 world cup medals. the rise of total football (1974 - 1978) introduced in netherlands, total football revolution helped netherlands to two consecutive world cup finals, which they lost to the host teams both times. argentina win their first ever world cup. the dominance of germany (1982 - 1990) largely overlapping with maradona's world cup career, this era was marked by none less than 3 consecutive world cup finals for germany, the first time ever for any country. they lost two in a row before finally winning one, taking revenge on argentina the very next world cup. the dominance of brazil (1994 - 2002) one string of 3 consecutive world cup finals was immediately followed by another one. brazil joined germany in demonstrating why they're the best footballing nations of their respective continents. brazil won two world cups, with a loss to france in between, giving france their first ever world cup title. european dominance (2006 - 2018) europe wins 4 world cups in a row, a record for a continent. italy, spain, germany and france get their triumphs in four of these finals, with all except one of them being all-european finals (argentina played the 2014 final). croatia stand out with the best underdog story in modern world cup history. 2022- dominance of argentina/south america?",1,0,0,309300,0,0,20463015,neutral
@RustaMan777,mbappe 77' penalty mbappe 79' mbappe 117' penalty mbappe successful shot in penalty shootout unbelieveble young player 24 y.o vs old professional players. respect all for greatest final in history🎉💪,0,0,0,309300,0,0,20463015,admiration
@user-ke2cf2pu7n,"argentina allowed the host to win to win fans hearts, messi went for france tricks in psg. football is a process. congrats argentina",0,0,0,309300,0,0,20463015,excitement
@PelnaKultura69,messi mvp is great but martinez save the cup,0,0,0,309300,0,0,20463015,admiration
@jacquelinnealejandrapapelo3739,"we it bad boy you, what?! sing",1,0,0,309300,0,0,20463015,neutral
@PravinRaut608,mbappe scaring me still thi daaaay,0,0,0,309300,0,0,20463015,fear
@danielzn___,1:29 esse lance do kono muani poderia ter mudado a partida............,0,0,0,309300,0,0,20463015,neutral
@ftys0a01,"kolo muani should have passed the ball to mbappe. undoubtedly, if mbappe had scored the goal assisted by kolo, france would have surely won the match. just imagine, if he had scored, he would undoubtedly be considered a legend by everyone. he worked so hard to take france to the final 😢. unfortunately, his idol cr7 couldn't make it to the end.",0,0,0,309300,0,0,20463015,admiration
@_.dacron,2024 still here🙂,1,0,0,309300,0,0,20463015,neutral
@Indicricstats,pessi had fifa under his feet throughout the tournament,0,0,0,309300,0,0,20463015,neutral
@Akhilk369,❤,0,0,0,309300,0,0,20463015,neutral
@umolaghar8438,mbappe the father of messi,0,0,2,309300,0,0,20463015,neutral
@clutchgodsam4207,2024 still wanna re-watch this legendary matche,1,0,0,309300,0,0,20463015,neutral
@nicolasnue3671,"such a great final (from a french supporter) the best won. that's why we love sport. you can't win everytime (that sucks) but what i saw was a perfect moment of hight and low emotions😊😊😊 it's just a game, isn't it ?",0,0,0,309300,0,0,20463015,admiration
@shubhamde3205,i still can't believe how emi martinez saved that last minute attempt.,3,0,0,309300,0,0,20463015,surprise
@ahmedalhouti4207,"also , my father could have one … but he needed to show you his latest hair style",0,0,0,309300,0,0,20463015,neutral
@baldemircihangir,mbappe de best ❤,0,0,0,309300,0,0,20463015,love
@Filmebissamyaro,argentinaa❤❤❤❤❤❤❤messi gool,2,0,0,309300,0,0,20463015,neutral
@Noscamers,south america rules,1,0,0,309300,0,0,20463015,neutral
@iamkEatOn,if kolo muani pass the ball to mbappe the game was over,0,0,0,309300,0,0,20463015,neutral
@PayssiNotWantedInBarcelonely,shame on you kolo muani and lloris,0,0,0,309300,0,0,20463015,anger
@jishanwrld,captains of the world ❤,0,0,0,309300,0,0,20463015,love
@swayy5756,mbappe vs fifa,1,0,2,309300,0,0,20463015,neutral
@user-bp5mq8mx8g,argentinaian goalkeeper was the key of trophy,1,0,0,309300,0,0,20463015,admiration
@Juneid2507,the 153 times i watch this.....,2,0,0,309300,0,0,20463015,neutral
@evibly,i bet you are here after watching captains of the world on netflix ☺😏⚽,2,0,0,309300,0,0,20463015,neutral
@neerali9093,i witnessed this epic with my father 😊... chilling thrilling final of all time .watching worldcups since 90s ....waiting for a brazilian glory next time....,0,0,0,309300,0,0,20463015,excitement
@josephmorquez5997,"mbappe nos dió infartos, pero messi nos reanimó con cada una de sus jugadas, messi agarraba el balón y sabíamos que había peligro 100%, lo que jugó messi no solo en esta final ( que hizo un partidazo ) sino que también en todo el mundial quedará marcado para toda la historia",2,0,0,309300,0,0,20463015,neutral
@user-gj8iq7bu1u,"just 2 minutes highlights for a world cup final?! man, isn't it too short?",1,0,0,309300,0,0,20463015,curiosity
@jasonrjlam1,this highlight is terrible.,0,0,0,309300,0,0,20463015,fear
@BlueFlagAlpha,messi is the goat. argentina is the best.,2,0,0,309300,0,0,20463015,admiration
@sharadramula2993,"i was the only guy supporting france....i was dancing in the lounge in kolkata , india...my heart broke when the french lost the penalty... nevertheless , argentina played well.... alone in a lounge full of 1200 folks supporting argentina...i was absolutely nuts that night...😂😂",2,0,0,309300,0,0,20463015,joy
@sizansikder7054,come on sports football bangladesh national team !,1,0,0,309300,0,0,20463015,neutral
@harveersingh5010,the same happened to the dutch’s 😢,2,0,1,309300,0,0,20463015,sadness
@Stranger43286,"wow, what an exhilarating match! in the 2022 world cup final between argentina and france, it sounds like there were so many twists and turns. messi scored a penalty in the 23rd minute, giving argentina a 1-0 lead. then, in the 36th minute, di maria scored a goal, making it 2-0 for argentina. but france didn't give up. in the 80th minute, mbappe scored a penalty, bringing the score to 2-1. and just a minute later, in the 81st minute, mbappe scored again, equalizing the score at 2-2. the tension must have been incredible! but messi wasn't done yet. in the 108th minute, he scored another goal, putting argentina ahead 3-2. however, mbappe responded with another penalty goal in the 118th minute, making it 3-3. what a nail-biter! finally, in the penalty shootout, argentina emerged as the winners, with a 4-2 victory. congratulations to argentina for winning the 2022 world cup! 🎉⚽️🏆🇦🇷🇫🇷",2,0,0,309300,0,0,20463015,excitement
@chair1107,"if the argentinian national team got a nickel for every time they were up 2-0, one of the goals being scored by messi, falling to 2-2 by one forward, and winning the match in penalties, they would have two nickels, which isn't a lot but it's weird that it happened twice.",0,0,0,309300,0,0,20463015,annoyance
@marcopedico,🇫🇷mbappè vs pele 🇧🇷,0,0,0,309300,0,0,20463015,neutral
@marcopedico,pele vs mbappe,0,0,0,309300,0,0,20463015,neutral
@marcopedico,mbappè vs ronaldo,0,0,0,309300,0,0,20463015,neutral
@seemiyajasmine141,rigged final for pessi,0,0,2,309300,0,0,20463015,neutral
@Chelseasupporter45678,mbappe goal scoring is equivalent to luis suarez scores from very far away,0,0,0,309300,0,0,20463015,neutral
@lalalili4197,"if kolo muani passes the ball to mbappe at 122nd minute, he would have scored 4 times in a final of a wold cup, and given a new star on the jersey. it would have been monumental legendary performance.",1,0,0,309300,0,0,20463015,admiration
@ujiburrahman-9036,messi,1,0,0,309300,0,0,20463015,neutral
@alexandrealexandre8782,se fosse brasil no gol de empate 2 a 2 teria se cagado todo e levaria virada de 2 a 5..brasileiro e fraco de pesonalidade argentino tem de sobra,0,0,0,309300,0,0,20463015,neutral
@user-if4nw8no7r,ce 2eme buts .. ce dernier arrêt me hantera toute ma vie 😭,1,0,0,309300,0,0,20463015,sadness
@samuelnarvaez6681,brings tears to my eyes,1,0,0,309300,0,0,20463015,sadness
@shuvojotibiswas9474,it was fifa cinema 💝,0,0,0,309300,0,0,20463015,neutral
@SoccerNationAnimeJourney,mbappe's second goal was probably one of the scariest moments in football history! but messi is the g.o.a.t 🐐,2,0,0,309300,0,0,20463015,fear
@joaokidd1412,the greatest world cup final ever. thanx messi and thanx mbappe for gave us such a legendary moment like this. guys did you believe that on this day we have seen the greatness😱😱😱 my godness,19,0,0,309300,0,0,20463015,admiration
@HaamiiAwwaluOro,هذه ليست المبارة النهائية الأعظم...هذه مباراة قرة القدم على الإطلاق من هناك... بدأت المشاهدة كل مباراة كرة القدم مع... التأريخ وفي النهاية أعرف ميسي قبل... وتعرفت كليان ميبابي هذه الليلة وتعجبت وأحببت وأحبه .....و أخيرا.....,0,0,0,309300,0,0,20463015,neutral
@puneetsingh2878,messi 👑,1,0,0,309300,0,0,20463015,neutral
@nationfirst9607,what a match and what a night for football fans... absolutely gem of the game,2,0,0,309300,0,0,20463015,admiration
@updatehubnp,so you are here again😆,1,0,0,309300,0,0,20463015,curiosity
@FPotato.Edits.7,1:30 france almost did it😮,0,0,0,309300,0,0,20463015,realization
@user-mg4xu5jj9p,yes 💙,1,0,0,309300,0,0,20463015,approval
@Goboy759,letsmjust appreciate peter drury on this as well what a commentater,1,0,0,309300,0,0,20463015,admiration
@victorriviera8662,yeah,1,0,0,309300,0,0,20463015,approval
@akmislam8313,it's almost like 1 v 11. as if i'm actually watching anime irl,0,0,0,309300,0,0,20463015,neutral
@iraklifutkaradze510,❤❤❤❤❤❤,0,0,0,309300,0,0,20463015,neutral
@tinofaratinashemukakaso5632,"the greatest christmas present of all time, thank you messi",1,0,0,309300,0,0,20463015,admiration
@tinofaratinashemukakaso5632,"i'm here for the beautiful memories, a year later and it still feels like last night",1,0,0,309300,0,0,20463015,joy
@TochiOgbonna-ek8qm,the best game i have ever watched,1,0,0,309300,0,0,20463015,joy
@awanrad8092,france and player hand in🤬🤬🤬🤬🤬 final argentina match,1,0,0,309300,0,0,20463015,neutral
@Hatem_Mo,the greatest final ever.,3,0,0,309300,0,0,20463015,admiration
@Jermy-ze1ld,king lionel messi,4,0,0,309300,0,0,20463015,neutral
@Danielgaming850,mbappes 3rd goal was a hatrick!,0,0,0,309300,0,0,20463015,neutral
@uzmahassankhaliq,rigged,0,0,1,309300,0,0,20463015,neutral
@driftatanxudabnd,edinson martinez > other argentina player,1,0,0,309300,0,0,20463015,neutral
@MrTrik15,this is a final,1,0,0,309300,0,0,20463015,neutral
@Sharma_Priya_,watch full penalty shootout of argentina vs france from stand in my channel❤.,1,0,0,309300,0,0,20463015,sadness
@Sharma_Priya_,watch full penalty shootout of argentina vs france from stand in my channel❤.,0,0,0,309300,0,0,20463015,sadness
@Sharma_Priya_,watch full penalty shootout of argentina vs france from stand in my channel❤.,0,0,0,309300,0,0,20463015,sadness
@Sharma_Priya_,watch full penalty shootout of argentina vs france from stand in my channel❤.,0,0,0,309300,0,0,20463015,sadness
@kennberries,i remembered the memory,3,0,0,309300,0,0,20463015,realization
@estherd9019,merci á kylian pour transportor la france,2,0,0,309300,0,0,20463015,neutral
@FifaJJV,france made in the world cup final 2 times but won it 1 time,2,0,2,309300,0,0,20463015,excitement
@user-fm5tm5mp2t,กลับมาดูใหม่กี่รอบๆก็มีความสุข ❤❤❤,3,0,0,309300,0,0,20463015,curiosity
@user-ou4tn8wr8i,"hands down , this is the best final ever 🔥🔥🔥",4,0,0,309300,0,0,20463015,admiration
@estherd9019,` angel di maria glorious goal argentine gold!,2,0,0,309300,0,0,20463015,excitement
@moshfiqurchowdhury3698,france so unfortunate to miss the last shot before the tie breaker starts😪,3,0,0,309300,0,0,20463015,disappointment
@RainCityy,i’ll bet we’ll never see someone score a hat trick in a world cup final ever again.,4,0,0,309300,0,0,20463015,neutral
@kakistrike4211,same match dramatic with terengganu vs perak final malaysian cup 2018.,1,0,0,309300,0,0,20463015,neutral
@arindambiswas4641,best world cup final ever,1,0,0,309300,0,0,20463015,admiration
@dokanyon,"the greatest final overshadowed by the tragic losses of thousands of workers . most of you don't care i know, but it is what it is",0,0,3,309300,0,0,20463015,surprise
@estherd9019,allez les blues allez. allez allez kyliannnnn mbappe ohhhhhhhh,0,0,0,309300,0,0,20463015,neutral
@robertsmerda2848,velky francouz s olomouce neni zadny fanousek fotbalove repre frncvie a vubec je nesleduje proto se mu stribro a stribrenem medaile s tohoto trnaje nebudou pocitat do souteze ! 👿👿👿,2,0,1,309300,0,0,20463015,neutral
@kostasiatrou6956,would cup🤩🤩,0,0,0,309300,0,0,20463015,neutral
@d.rmathavkrishna3961,mbappe vs argentina,2,0,0,309300,0,0,20463015,neutral
@Mrcr7cc,what if kolo muani passed mbappe,0,0,0,309300,0,0,20463015,curiosity
@ntokozosithole1435,"greatest world cup final ever and the last one for our lionel messi, a great dancer exiting in style🇿🇦❤",1,0,0,309300,0,0,20463015,admiration
@user-xv4dx7yr3c,el portero fundamental para el título,0,0,0,309300,0,0,20463015,neutral
@its_lucxs,martinez’s save gave me chills,1,0,0,309300,0,0,20463015,fear
@kamenpetrov6787,i love that way messi did the last penalty. but also very love who did the final penalty goal for argentina. gustavo montiel is very special name.,6,0,0,309300,0,0,20463015,love
@arjunyopzz6270,emi the saviour 💥😘❤️,1,0,0,309300,0,0,20463015,neutral
@TheAthena13,10x spanish champion 8x spanish super cup 7x spanish super cup 4x ucl 3x fifa club world cup 2x ligue1 2x olympic medalist 1 x finallisma 1x wc 1x copa america 1x french cup 1x leagues cup 3x uefa the best 6x golden boot 5x playmaker award 3x fifa the best 2x wc golden ball 8x ballondor most g+a most goal in a calender year most assist in a calender year most assist in history 2nd most goal in history most motm most bcc the most complete player of all time 23x top goal scorer 10x player of the year 1047 match 821 goals 361 assist 1182 g+a the greatest of all time🐐,2,0,0,309300,0,0,20463015,neutral
@Cr7thegoatsiuu17,ronaldo will bring the world cup in 2026 world cup..,0,0,0,309300,0,0,20463015,excitement
@VoidEdgarYT,in fact mbappe almost destroyed messi dreams i'm sad that mbappe gave his all but his team mates didn't :(,0,0,0,309300,0,0,20463015,sadness
@Alessioundbabyking283,agree,0,0,0,309300,0,0,20463015,approval
@yafetyohannes7935,who's here a year later 👇,5,0,1,309300,0,0,20463015,curiosity
@sebsoulsgamer,pessi goated,0,0,1,309300,0,0,20463015,sadness
@subhamprasad2071,argentina win the final .but france proved they were defending champions 😮 .france and mbappe the 2nd half🔥🔥🔥🔥,0,0,0,309300,0,0,20463015,neutral
@ivyguevarra9222,go muessi go,0,0,0,309300,0,0,20463015,neutral
@mstmunikabagom556,আর্জেন্টিনা সবসময় বিশ্ব জয়ী থাকবে ❤❤❤❤❤❤,1,0,0,309300,0,0,20463015,sadness
@user-gj2ik8yr3q,this brings tears to my eyes every time i watch it haha,2,0,0,309300,0,0,20463015,amusement
@blets6661,"nostalgia, and its 1 year haha",2,0,0,309300,0,0,20463015,amusement
@kqlscientist6348,1 year ago now... time flies.,3,0,0,309300,0,0,20463015,neutral
@user-ox8ql6jn9u,🇦🇷🇦🇷🇦🇷🤟🤟messi10🤟👑👑🥇🤘🤘❤️❤️🥰,1,0,0,309300,0,0,20463015,neutral
@muktarahmed3849,ি,0,0,0,309300,0,0,20463015,neutral
@thenickster1,greatest match in the past decade,2,0,0,309300,0,0,20463015,admiration
@rico32220,pessy can't live without penalty 😂,2,0,5,309300,0,0,20463015,sadness
@doltansgaming69,people who know,1,0,0,309300,0,0,20463015,neutral
@MCFCReacts,it’s crazy that this was a year ago 🤯 feels like a month ago,3,0,0,309300,0,0,20463015,desire
@tonsquemami1420,"el diablo apoya a kilian, es el el demonio jugando al soccer",0,0,0,309300,0,0,20463015,neutral
@ayushchaturvedi12,1:30 save was ......,0,0,0,309300,0,0,20463015,neutral
@mohinmohin6292,🇦🇷 vs 🇨🇵 best world cup final ever 🏆🤙🔥 👇,3,0,0,309300,0,0,20463015,admiration
@primorskiq,1st penalty? really? rather oscar than penalty...,0,0,0,309300,0,0,20463015,disgust
@wieslawsobocinski8260,argentyna vs france -final world cup *,1,0,0,309300,0,0,20463015,neutral
@wieslawsobocinski8260,argentyna w mistrzoskim stylu pokonala francje i zdobyla puchar swiata,0,0,0,309300,0,0,20463015,neutral
@theofgd206,its 1 year ever for final,2,0,0,309300,0,0,20463015,neutral
@azdrenbytiqi2310,best final ever,3,0,0,309300,0,0,20463015,admiration
@thejose_games803,no me lo puedo creer que ya pasó un año... siento que lo habia visto ayer.,1,0,1,309300,0,0,20463015,realization
@lionelmessiroy,"mbappe was the man who injected fear into the whole world but we were not scared because we had the g.o.a.t, the myth, the legend the little boy from rosario",1,0,0,309300,0,0,20463015,neutral
@smoki_683,mbappe one man army❤,0,0,0,309300,0,0,20463015,love
@adharshmanikoth3381,"mbappe can become a legend like pele, if only he let ho of his ego",0,0,1,309300,0,0,20463015,neutral
@AmmarMuslimm,it's been 1 year and 2 days,2,0,0,309300,0,0,20463015,neutral
@joutirmoybanik2nd599,it's been 1 year❤,4,0,0,309300,0,0,20463015,neutral
@user-nc6yx1gg8x,messi's third goal attempt actually scored but it looked like the ref did not see that,0,0,0,309300,0,0,20463015,neutral
@MarufMaruf-ll4ll,tolol,0,0,0,309300,0,0,20463015,amusement
@TonyMFB98,italia 🌟🌟🌟🌟,0,0,0,309300,0,0,20463015,neutral
@LINN6383,i don’t think anyone will see this but i’ll just post this comment as it is 1 year since argentina won the world cup ❤,3,0,0,309300,0,0,20463015,love
@cacaodelaltosa1372,que porquería de highlights,1,0,0,309300,0,0,20463015,neutral
@Fc_Mobile246,1 year ago since argentina are winners,2,0,0,309300,0,0,20463015,excitement
@mahdiahmed1965,it’s 1 year past 🇦🇷🫶,1,0,0,309300,0,0,20463015,neutral
@user-sg1yn4hg1d,"the current world population is about 755 million, of which the number of muslims is about 190 million.😢😢😢😢😢😢😢😢😢😢😢😢 i am muslim 🇧🇩🇧🇩🇧🇩🇧🇩🇧🇩🇧🇩 bangladesh",2,0,1,309300,0,0,20463015,neutral
@H-yd2rf,1 year...,3,0,0,309300,0,0,20463015,neutral
@hari2007p,it's been 1 year and i still enjoy watching this highlights ❤❤lots of emotions 🥺🥺,25,0,1,309300,0,0,20463015,joy
@Goboy759,year anniversary to this masterpeice of a match this match describes football,6,0,0,309300,0,0,20463015,excitement
@Goboy759,year anniversary to this masterpeice of a match this match describes football,3,0,0,309300,0,0,20463015,excitement
@Goboy759,1 year anniversary to this masterpeice of a match this match describes football it describes its own beaty,3,0,0,309300,0,0,20463015,excitement
@RiponKhan-qi6wf,🎉😂😂pddpsep999s0s0sd0😅❤😊😊❤😊😂😂😂,2,0,0,309300,0,0,20463015,amusement
@thagtv9359,"kolo muani passes to mbappè, he gets a winner.",2,0,0,309300,0,0,20463015,neutral
@aalom0892,di maria is a special player for every final match 🔥🇦🇷💙,3,0,0,309300,0,0,20463015,approval
@twiceonce3848,"hace un año, se disputó la final de catar 2022, catalogada como la mejor final en la historia del fútbol mundial. hace un año, argentina y francia fueron protagonistas de un partidazo, que acabó 3-3 y se extendió hasta los penales. hace un año, argentina quedó campeón mundial para ser exactos a las 2:55pm hora de ese país y conquistó su tercer estrella. hace un año, messi ganó el título que le faltaba: la copa mundial. el pueblo argentino debe estar de fiesta todavía, así que muchas felicidades.",4,0,0,309300,0,0,20463015,neutral
@mdmeron93,best world cup final match ever🇦🇷😇,2,0,0,309300,0,0,20463015,admiration
@SIM1846,1:30 if he sends it to mbappe 😂😂,1,0,0,309300,0,0,20463015,neutral
@lal221fad,1:30 heat attacking goal save,1,0,0,309300,0,0,20463015,neutral
@petercorzo3407,soy peruanoamericano quiere dice a argentina feliz aniversario ⚽️,2,0,0,309300,0,0,20463015,neutral
@NayeemHossain01,one year done ❤ love from bangladesh 🇧🇩❤,1,0,0,309300,0,0,20463015,love
@P_Shaikh95,happy 1 year championship anniversary to leo messi and team argentina. one of golden iconic moments in history of sports 🏆,9,0,0,309300,0,0,20463015,joy
@user-cf6fv3zd3f,it's a year from now ❤❤❤,2,0,0,309300,0,0,20463015,sadness
@TonyMFB98,maradona 🇦🇷💙,2,0,0,309300,0,0,20463015,neutral
@TonyMFB98,ok but kvaratskhelia is better,1,0,0,309300,0,0,20463015,approval
@BalasankarVH,1 year to argentina world cup title,2,0,0,309300,0,0,20463015,neutral
@rodreedAr,yes!,2,0,0,309300,0,0,20463015,approval
@robertooscarcoria611,feliz aniversario campeon!😅,2,0,0,309300,0,0,20463015,approval
@TanTaiNguyen-ud3ze,today marks 1 year anniversary of this incredible final. so proud of you argentina ❤💙💙💙🇦🇷🇦🇷🇦🇷🇦🇷,6,0,0,309300,0,0,20463015,admiration
@bens6751,1 year ago on this day messi was crowned the goat,2,0,0,309300,0,0,20463015,neutral
@dominate3858,"today marks a year, bless the gods for this moment🎉",1,0,0,309300,0,0,20463015,love
@Jason-sp8xz,exactly 1 year ago and these still feels surreal,3,0,0,309300,0,0,20463015,joy
@annamarcinek2364,1 one year ago.... time flies😳😳,2,0,0,309300,0,0,20463015,neutral
@adria1657,un uno que somos campeones del mundo muchachos feliz 18.12 🇦🇷💙,1,0,0,309300,0,0,20463015,approval
@joshwynn7784,can't believe it's already been a year since this legendary final...,4,0,0,309300,0,0,20463015,surprise
@frosty9072,1 year ago,2,0,0,309300,0,0,20463015,neutral
@BilalJamshi-wz7nt,1 año de la locura más hermosa de mi carrera... recuerdos inolvidables que quedarán para toda la vida. feliz aniversario para todos!,2,0,0,309300,0,0,20463015,excitement
@emtvideo0,"1:30 i will never forget you, emiliano martinez. thank you very much. king 💪💪💪",21,0,2,309300,0,0,20463015,gratitude
@emtvideo0,"like a maestro orchestrating a symphony, messi led his team to the pinnacle of football glory, clinching the world cup with a breathtaking display of skill, finesse, and an unwavering spirit. in that moment, the stadium echoed with the thunderous applause of triumph, etching messi's name into the annals of football history as a virtuoso who conducted his way to championship brilliance. respect the goat, respect the lionel andrés messi cuccittini",4,0,0,309300,0,0,20463015,admiration
@superman31172,today is december 18 2023 it is exactly one year since argentina won the world cup i am happy for lionel messi that he won a world cup and a copa america and to think he quit the team and if it was not for argentina 's president he would have not won those 2 championships,4,0,0,309300,0,0,20463015,joy
@tsioryrasamiarisoa1552,coming back here a year later,3,0,0,309300,0,0,20463015,neutral
@realbluecraft,who’s here after 1 year? 😏,3,0,0,309300,0,0,20463015,curiosity
@artsurdulli2227,the day the that the goat debate was over one of the best world cup finales and the the heart attack just mad vamoss! argentina,0,0,0,309300,0,0,20463015,neutral
@artsurdulli2227,the day the that the goat debate was over one of the best world cup finales and the the heart attack just mad vamoss! argentina,1,0,0,309300,0,0,20463015,neutral
@user-sn9fw4iq7c,messi goat,0,0,0,309300,0,0,20463015,neutral
@AB-tv2rm,messi will be sainted.,0,0,0,309300,0,0,20463015,neutral
@nathanb286,"it wasn’t shown, but can we please talk about how many chances lautaro martinez missed in this game because he would be the most hated man in argentina if they lost",1,0,0,309300,0,0,20463015,neutral
@brunnogaspar4095,melhor final da história,1,0,0,309300,0,0,20463015,neutral
@rorycoffey4381,1 year on. the best football match i ever watched.,2,0,0,309300,0,0,20463015,admiration
@nathanb286,"1 year on, this game feels like yesterday. greatest match i have seen in my lifetime by a mile",14,0,0,309300,0,0,20463015,joy
@jkoushik4781,1year ago........🥺🐐♾️🏆,1,0,0,309300,0,0,20463015,neutral
@emanuelelc3958,1 year ago...,2,0,0,309300,0,0,20463015,neutral
@invisible6210,"it's been a year,,and the upcoming generation might not understand how important it was for messi fans",2,0,0,309300,0,0,20463015,neutral
@alexandrosgr9746,one year later🇦🇷🏆,3,0,0,309300,0,0,20463015,neutral
@Mr.Bean30,turtle played well,0,0,0,309300,0,0,20463015,admiration
@hashuwashere,"one year ago, this happened, the greatest game ever.",4,0,0,309300,0,0,20463015,joy
@user-pb8tm1vo6o,ok,0,0,0,309300,0,0,20463015,approval
@waddlez7192,it's been exactly 1 year since this masterpiece of a game,2,0,0,309300,0,0,20463015,admiration
@user-rz2rk5xi9l,happy new year 1 age❤❤💪💪💪🇶🇦🇶🇦🇶🇦🇶🇦💪💪💪💪💪👍💪👍,1,0,0,309300,0,0,20463015,joy
@twiceonce3848,"hace un año, en este preciso momento, a las 11:55am hora cr, argentina se coronó campeón de catar 2022.",3,0,0,309300,0,0,20463015,neutral
@blood_boi6900,"argentina, champions of the world",2,0,0,309300,0,0,20463015,excitement
@a_kaiyum10,the greatest final evar ⭐⭐⭐🇧🇩❤️🇦🇷,2,0,0,309300,0,0,20463015,admiration
@arthurmorgan3180,"one of the greatest moments ever, unforgettable day",39,0,0,309300,0,0,20463015,joy
@adventrousa680,happy anniversary world champions,2,0,0,309300,0,0,20463015,joy
@adnansyed9038,who is here after 365 🎉😀,3,0,0,309300,0,0,20463015,curiosity
@AjithaAdhithya-ct4vl,1year🤍,2,0,0,309300,0,0,20463015,neutral
